class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,299565543747250176,145.45408,0.039078341,0.1814355,55.42002,5.866862,27.65116,16.52235,80.32958,13.41823,5.251546,0.1941082,-22.19994
GALAXY,299572415694923776,145.3206,-0.25286139,0.05195406,54.88452,25.6267,151.7201,100.7561,390.5861,78.33469,57.55163,12.69689,-19.7645
GALAXY,299595230561200128,145.63365,0.62077958,0.1557892,155.5871,14.63298,70.80495,16.70062,84.42124,35.73972,28.12267,0.8576143,-5.33114
GALAXY,299595780317014016,145.51241,0.33917087,0.006378901,38.77341,3.656026,39.80714,35.59267,153.8173,16.52884,11.71782,1.011221,-50.91788
GALAXY,299606775433291776,145.73267,0.53403606,0.1642566,178.7983,13.84128,54.12993,16.60044,45.17073,19.91315,8.251519,14.14263,-3.549727
GALAXY,299610348846082048,145.82799,0.19321664,0.125227,64.23418,-1.049167,-0.8388855,15.56413,16.94432,4.81704,4.339784,0.7961434,-0.465649
GALAXY,299613097625151488,146.26584,1.2304246,0.006355164,51.57039,65.6298,7.334184,30.1784,108.7583,17.56748,6.205035,0.5408543,-19.4637
GALAXY,299631514444916736,146.37363,0.25553936,0.1291836,172.7781,12.37557,80.07401,15.45703,98.8429,17.13784,25.35174,6.1454,-3.3598
GALAXY,300617501128026112,148.73288,-0.76115921,0.08627161,143.0458,27.43689,123.455,64.29639,266.537,47.75138,32.6119,11.56401,-8.237713
GALAXY,300640041116395520,148.38497,-0.94142973,0.08325355,174.1295,12.9366,8.973487,6.704512,14.77887,-3.494573,3.244706,0.5745245,-0.5660154
GALAXY,300691443284994048,147.7083,0.19797583,0.3466542,41.97858,1.324885,14.68008,-0.5567588,9.778743,9.407297,2.280528,2.224724,1.01783
GALAXY,300764560808241152,148.46686,0.56135996,0.0935249,96.27401,8.080067,1.084759,1.025047,8.95709,-1.909756,1.109994,0.9460325,-0.3039357
GALAXY,300766759831496704,148.60823,0.60640483,0.07965201,52.54665,9.92093,28.64763,22.88907,83.65855,14.09423,9.180489,2.23794,-13.92153
GALAXY,300779953971030016,148.73256,0.44106498,0.2138558,1,3.266973,11.23441,-3.816779,15.22766,4.104743,3.263632,1.592356,-0.704004
GALAXY,300787100796610560,148.94854,0.5559619,0.07774719,133.6919,9.523458,61.68732,28.91679,125.2326,12.6851,13.40299,8.287637,-7.58059
GALAXY,301744226088019968,150.23136,-0.58731047,0.2689646,1,0.2900465,-7.1763,2.792082,3.574477,2.101181,0.08169267,-8.702348,-1.124081
GALAXY,301752747303135232,149.79426,-0.8594179,0.1045381,98.95837,19.22576,223.8131,79.74321,367.2041,50.6539,50.27746,7.796734,-36.59008
GALAXY,301768140465924096,149.66768,-0.77062265,0.08532126,292.3349,12.16181,7.573078,23.98626,4.213887,-1.634445,-6.146372,0.7028327,-0.1963246
GALAXY,301812670686849024,149.08699,-0.90382007,0.1377121,68.13418,6.576094,27.22048,9.071486,62.47291,10.95789,10.19781,4.224628,-9.825966
GALAXY,301819542634522624,148.66173,-1.1952299,0.108053,1,3.80514,-1.342903,8.733993,12.05705,0.2332602,-0.1457289,1.18001,-0.6730416
GALAXY,301824490436847616,149.05941,-0.020649909,0.06502754,219.01,10.8417,26.64563,24.62297,41.57663,-0.7947701,6.530975,4.980784,-0.6672865
GALAXY,301826964338010112,148.70678,-0.34464792,0.1647106,78.49796,8.844413,22.67718,7.305626,35.12659,21.7482,3.779155,-0.3333416,-2.857502
GALAXY,301873693582190592,149.86689,0.2873983,0.1692473,194.7648,6.966724,2.356163,7.414956,4.796527,17.74932,-0.8022113,1.006019,-0.3281669
GALAXY,301892110401955840,150.02696,0.51018747,0.08743683,470.4224,13.35203,-126.6476,3.118508,0,1.567699,0.7964653,1.488848,1.030063
GALAXY,301904754785675264,150.25716,0.21459792,0.09174398,86.55958,8.572221,116.0905,62.18715,340.0088,39.11444,27.53493,7.016531,-30.19857
GALAXY,302872604543313920,151.53718,-1.116275,0.155248,79.69048,5.615333,7.199515,3.1363,4.054973,13.04518,1.590306,2.74234,0.09461527
GALAXY,302916035252611072,151.32123,-0.7027315,0.08460317,91.90587,9.58744,60.86854,42.83253,141.5426,17.4383,17.55525,2.045617,-14.80695
GALAXY,302919333787494400,151.00909,-0.34292988,0.03396715,57.27392,76.33783,71.79076,87.56528,327.6885,72.63947,54.14969,10.96132,-45.98779
GALAXY,302934726950283264,150.35515,-0.88035734,0.1685575,1,1.885546,0.2245978,-6.308743,23.13638,1.398705,0.6115397,-2.767637,-1.412743
GALAXY,303005920328181760,151.60947,0.60630897,0.1772463,130.6975,9.155757,59.31527,12.61224,69.17081,0,0,-5.376286,-6.378334
GALAXY,303007569595623424,151.6547,0.63260972,0.02122282,61.74655,26.77491,215.5362,126.0947,620.7071,117.9823,81.99427,10.32225,-22.51486
GALAXY,304000428578727936,153.66558,-0.72486094,0.04497541,1,2.801849,-1.000787,4.572818,4.956156,2.348793,-1.378791,-1.432311,0.01547757
GALAXY,304038636607793152,152.66491,-0.72869677,0.0673152,102.5268,9.687499,50.27917,27.81857,143.312,27.17471,14.13729,6.620171,-10.29465
GALAXY,304044958799652864,152.57345,-0.69530912,0.06609915,116.7925,8.525123,38.74144,11.06754,82.2653,21.30778,11.86682,0.1229675,-8.256218
GALAXY,304058977572907008,152.36122,-0.36432869,0.09554072,54.82227,131.7635,183.7893,166.6342,658.9089,107.3238,79.40772,18.32275,-62.47775
GALAXY,304085365851973632,151.93398,1.0382478,0.1824053,84.27087,3.178571,18.66551,6.915094,33.51348,5.729295,2.568876,1.271573,-7.391077
GALAXY,304092787555461120,152.16343,0.93120341,0.1245439,96.11873,11.82255,29.4932,14.76213,46.38473,13.5395,12.07617,3.482475,-3.490433
GALAXY,304101583648483328,152.19552,-0.025764369,0.1846488,113.3369,7.047047,27.49336,21.36701,85.56564,9.899665,12.2455,-0.02528244,-9.673876
