class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,299511117921675264,146.81199,-0.19004646,0.06215091,152.0052,25.04931,15.0534,7.331618,16.28403,3.464392,5.712928,5.201284,-0.6077716
GALAXY,299517989869348864,146.74174,-0.52469154,0.1315038,91.95879,68.8668,129.9966,39.86888,174.6208,20.41914,26.54523,5.741499,-23.71665
GALAXY,299519089380976640,146.7517,-0.40839151,0.03580831,61.22869,210.5195,359.1024,333.1961,1311.788,256.0965,182.8083,33.85272,-46.32598
GALAXY,299536406689114112,146.16234,-0.022424349,0.09155686,143.705,11.30667,3.640389,2.709981,10.44346,3.398175,-7.802032,6.230942,-0.7582279
GALAXY,299543003758880768,145.84425,0.030685407,0.1554309,92.61996,11.03037,41.48017,32.44992,134.9984,22.97449,10.88439,-3.376009,-12.78281
GALAXY,299569117160040448,145.1963,-0.87997986,0.118615,89.80146,28.0456,68.26641,32.09054,133.9965,33.76559,26.44269,12.11208,-10.1271
GALAXY,299569392037947392,145.36211,-0.71402013,0.1315616,57.13091,15.69489,58.15033,50.89903,179.5962,32.69051,28.50644,5.584886,-31.78715
GALAXY,299584235444922368,145.30472,0.56238456,0.1469123,93.31535,5.640034,70.94817,-43.67038,163.1782,19.84315,13.10721,-2.982097,-19.09693
GALAXY,299601552753059840,145.9373,1.1418559,0.1241183,114.247,11.83508,20.2083,8.066994,25.96159,8.651973,4.059365,4.972737,-1.862422
GALAXY,299645533218170880,146.72476,1.0311295,0.08645536,48.00909,8.287917,52.50768,39.60222,159.3771,30.34926,19.61904,2.675707,-26.21152
GALAXY,299648281997240320,146.7823,0.7944099,0.06999054,1,3.59091,-0.2567315,-0.04023961,6.412367,-0.7019117,0.7316316,0.6521631,-0.09839139
GALAXY,299652130287937536,147.03909,0.52560708,0.06346273,58.72172,120.4238,113.3248,134.6182,516.7769,81.20013,57.8144,10.28142,-103.2645
GALAXY,300620799662909440,148.72704,-1.1209844,0.08433501,64.72208,12.67478,98.81001,62.44374,255.8474,31.21758,25.97692,9.025476,-28.9029
GALAXY,300637292337326080,149.01119,-0.080028731,0.08626337,1,2.448908,0.9203647,3.248232,1.535869,-0.3998722,1.410022,0.1766862,0.0217698
GALAXY,300653235255928832,148.04897,-0.85206301,0.1332475,182.6792,18.71664,140.8203,61.66449,383.1564,48.07209,38.67274,13.93759,-15.98313
GALAXY,300659282569881600,148.68383,-0.34381083,0.2063607,39.76417,1.801209,15.79116,12.80424,86.6234,8.459408,5.033523,-8.11583,-13.1339
GALAXY,300669727930345472,147.81045,0.046493486,0.1333251,77.34729,11.61989,125.6245,44.05736,242.1171,42.19727,26.87576,8.257575,-24.24088
GALAXY,300684021581506560,147.404,-1.1733014,0.06273336,65.5576,12.02855,43.38868,20.1096,60.09156,8.543865,8.370733,2.721234,-3.139542
GALAXY,300774731290798080,148.32862,0.94470695,0.0971866,138.6814,11.77187,10.80884,11.15162,22.57135,7.707717,4.759408,4.758293,-1.396676
GALAXY,300778029825681408,148.78171,0.27732919,0.08549848,138.2026,4.913955,33.74887,7.80487,51.79183,18.41066,14.00283,7.1122,-3.615439
GALAXY,301764292175226880,149.5702,-0.90525035,0.1039087,50.38135,5.868615,29.80749,23.48811,84.63778,18.1376,8.871406,5.568139,-13.32947
GALAXY,301788206553131008,149.83803,-0.099649921,0.1680779,1,2.925852,0.8718268,1.930783,8.48856,3.506841,0.9087402,2.583911,-0.9599673
GALAXY,301818168244987904,149.27064,-0.2641052,0.08808289,77.23028,4.959022,24.853,16.4645,70.70238,9.466129,7.516,1.31005,-7.077752
GALAXY,301856101396146176,149.32459,0.98264229,0.08670224,135.9571,20.03752,128.7699,65.85503,325.6521,42.99096,32.98787,5.52783,-9.111596
GALAXY,301859949686843392,149.29027,0.6520023,0.0849936,55.77888,8.73133,15.46709,12.48533,42.11258,10.18055,4.636876,2.505743,-8.155597
GALAXY,301868745779865600,149.53812,0.60086726,0.04669769,59.74556,80.40093,218.1941,189.8755,652.5443,139.9801,100.9954,14.39051,-36.38744
GALAXY,301908603076372480,150.03345,1.2044814,0.09773985,137.0696,9.703689,14.85337,-3.733638,7.706312,10.25209,1.481277,4.245767,-0.4614928
GALAXY,302888547461916672,151.77327,-0.19357136,0.1890451,205.4579,17.19059,95.44911,23.17101,76.51545,27.15218,21.94916,1.264435,-6.44375
GALAXY,302889372095637504,151.06646,-1.2134722,0.06609736,77.18388,134.3046,349.632,259.5634,1105.474,194.8855,142.6392,28.05555,-35.48469
GALAXY,302911362328193024,151.19614,-0.62856884,0.09412583,94.43855,15.68722,28.06275,24.03005,73.5582,23.41353,14.024,3.615775,-6.165287
GALAXY,302913561351448576,151.22126,-0.67707179,0.09589524,101.443,8.24509,11.25734,15.86556,23.70439,3.710961,6.609882,-0.1076178,-0.7456167
GALAXY,302941598897956864,150.73828,0.11045973,0.09307487,8.327909,4.075959,3.833341,-0.4907409,4.874366,-7.077949,2.187787,-0.04991699,-0.3958923
GALAXY,302955067915397120,150.46339,-0.68125326,0.08627754,57.24998,12.94563,44.46018,24.95343,113.0063,19.93023,11.71676,3.076509,-10.07856
GALAXY,302971835467720704,150.90336,0.6019003,0.04468038,73.3616,6.530398,52.75175,23.30534,124.4216,19.48368,12.41451,1.388717,-8.012117
GALAXY,303019389345622016,151.81866,0.2334312,0.09498072,190.2037,25.10962,31.74107,17.83055,48.09579,13.27564,10.99377,11.59085,-3.079162
GALAXY,303039455432828928,152.00348,0.35649896,0.0315523,42.98019,374.4175,47.48361,166.0813,515.8463,90.71978,64.03562,24.04866,-46.77952
GALAXY,304006201014773760,153.44865,-0.97355542,0.0443475,1,-3.937084,3.545769,3.818159,4.404939,-5.614557,1.151531,-0.460063,0.2902817
GALAXY,304017471008958464,153.34334,-0.87179442,0.04748411,49.99102,38.21413,86.55301,71.12551,306.4053,67.38058,49.14203,11.75735,-30.51247
GALAXY,304028466125236224,152.81664,-1.2452536,0.09110201,86.08562,10.78915,45.79119,11.23669,61.7961,16.13124,12.13042,4.976075,-2.591153
