plate,mjd,fiberid,redshift,subclass,w1,w2,w3,w1flux,w2flux,w3flux
387,51791,208,0.08166622,STARFORMING,14.43,14.246,10.576,268.03,126.31,932.16
387,51791,209,0.08312206,,15.156,15.11,11.557,137.33,56.993,377.61
387,51791,210,0.1106134,,13.97,13.786,11.186,409.36,192.96,531.57
387,51791,253,0.08155095,STARFORMING,14.738,14.685,10.984,201.72,84.346,640.43
387,51791,259,0.08389037,STARFORMING,14.154,14.028,10.001,345.52,154.4,1583.3
387,51791,260,0.08236998,,13.492,13.421,11.161,635.52,270.23,544.04
389,51795,7,0.06430551,STARFORMING,13.745,13.602,10.74,503.31,228.63,801.79
389,51795,9,0.06397939,,12.967,12.815,9.915,1030.7,472.04,1714.2
389,51795,9,0.06397939,,13.25,13.149,10.368,794.21,347.19,1129.5
389,51795,10,0.1112324,STARFORMING,13.932,13.765,10.494,423.98,196.76,1005.6
389,51795,14,0.09188731,STARFORMING,13.772,13.542,10.406,491.19,241.74,1090
389,51795,16,0.06333922,STARFORMING,13.483,13.276,9.938,640.62,308.73,1677.9
389,51795,56,0.1593584,,14.152,13.763,10.551,346.23,197.1,954.31
389,51795,84,0.08581316,AGN BROADLINE,12.401,12.205,9.557,1735.5,828.03,2383.4
389,51795,99,0.1932833,STARFORMING,14.599,14.078,10.52,229.36,147.56,982.15
389,51795,131,0.1534552,STARFORMING,14.508,13.911,11.292,249.31,172.06,482.11
389,51795,138,0.08598568,STARFORMING,13.69,13.457,9.802,529.54,261.42,1901.8
390,51900,211,0.1018045,STARFORMING,14.638,14.456,10.929,221.3,104.15,673.6
390,51900,229,0.1885211,,14.112,13.696,11.041,359.14,209.66,607.6
390,51816,240,0.1413375,,13.29,13.041,10.052,765.83,383.43,1510.3
390,51816,258,0.1071896,,13.984,13.858,11.098,404.09,180.71,576.42
390,51816,291,0.09436546,STARBURST,13.749,13.284,8.867,501.88,306.36,4501.2
390,51900,294,0.06850916,BROADLINE,12.783,12.741,10.685,1221.7,505.43,843.33
390,51900,296,0.068186,STARFORMING,14.338,14.23,11.096,291.54,128.24,577.73
390,51816,297,0.01891363,STARFORMING,13.585,13.569,10.212,583.36,235.62,1303.4
391,51782,621,0.1898698,STARBURST,15.577,14.986,11.485,93.188,63.897,403.52
392,51793,7,0.1112232,AGN BROADLINE,13.052,12.726,9.57,953.51,512.2,2355.4
392,51793,10,0.08210652,STARFORMING,14.093,13.978,10.242,365.51,161.77,1267.7
392,51793,11,0.1075005,STARFORMING,14.384,14.112,10.69,279.58,142.89,839.75
392,51793,20,0.08140541,STARBURST,14.774,14.452,10.639,195.11,104.55,879.59
392,51793,379,0.05987637,STARFORMING,14.271,14.134,10.137,310.22,140.05,1397.5
392,51793,383,0.1198875,,13.727,13.589,10.773,511.7,231.36,777.87
392,51793,390,0.05537141,STARBURST,15.07,15.071,11.613,148.57,59.108,358.7
392,51793,397,0.06880669,STARFORMING,13.811,13.664,9.712,473.93,215.91,2066.2
392,51793,411,0.1204458,STARFORMING,13.5,13.307,10.098,630.78,299.93,1448.1
392,51793,415,0.05556621,STARFORMING,14.438,14.237,10.612,265.91,127.38,901.69
392,51793,429,0.1195939,STARFORMING,14.53,14.297,10.608,244.42,120.55,905.13
392,51793,432,0.04118574,STARFORMING,12.686,12.598,9.172,1335.5,576.61,3397.6
392,51793,458,0.08730028,STARFORMING,13.446,13.171,9.748,663.29,340.05,1999
392,51793,485,0.2344507,,14.418,14.034,10.828,270.79,153.66,739.1
392,51793,525,0.2083094,STARBURST,15.486,14.869,10.999,101.32,71.2,631.32
392,51793,527,0.2145268,STARBURST,15.727,15.09,10.721,81.171,58.092,816.19
392,51793,532,0.1211347,,13.382,13.189,10.89,703.14,334.41,698.18
392,51793,537,0.07872824,STARFORMING,14.993,14.923,10.93,159.47,67.727,673.26
392,51793,542,0.1119843,STARFORMING,14.888,14.694,10.459,175.67,83.637,1038.4
392,51793,547,0.1071174,STARFORMING,14.622,14.42,10.65,224.52,107.68,871.01
392,51793,550,0.10724,STARFORMING,14.426,14.172,10.502,268.95,135.27,998.34
392,51793,559,0.1067381,STARFORMING,14.198,13.954,10.083,331.7,165.33,1468.4
392,51793,562,0.1237632,STARFORMING,13.962,13.562,9.767,412.43,237.18,1963.9
392,51793,576,0.1145381,,14.542,14.381,11.139,241.69,111.59,555.37
392,51793,579,0.06834562,STARFORMING,14.626,14.382,10.781,223.71,111.52,771.71
392,51793,584,0.1233486,STARFORMING,14.528,14.155,10.513,244.85,137.46,987.68
392,51793,602,0.1323406,STARFORMING,14.359,14.134,11.484,285.9,140.04,404.15
392,51793,610,0.01370222,STARFORMING,12.881,12.874,9.65,1116.1,447.18,2188.2
392,51793,624,0.1229263,STARFORMING,14.63,14.481,10.265,222.87,101.73,1241.7
393,51794,206,0.04527605,STARFORMING,14.685,14.533,11.202,211.75,97.001,523.93
393,51794,247,0.2528279,STARBURST,15.299,14.596,11.317,120.33,91.496,471.37
393,51794,251,0.1835117,,14.022,13.597,10.184,390.13,229.79,1337.7
393,51794,252,0.1438919,,14.354,14.086,10.684,287.43,146.43,843.77
393,51794,255,0.11111,AGN,13.852,13.674,11.073,456.13,213.95,589.76
393,51794,283,0.280301,STARBURST,15.168,14.629,11.556,135.78,88.765,378.19
393,51794,285,0.1100818,STARFORMING,14.638,14.427,10.687,221.13,106.98,841.91
393,51794,288,0.1101761,STARFORMING,14.445,14.228,10.439,264.19,128.42,1057.4
393,51794,291,0.1117991,STARFORMING,13.543,13.414,10.843,606.36,271.81,728.96
393,51794,292,0.128323,STARFORMING,14.452,14.185,10.555,262.51,133.65,950.58
417,51821,98,0.1649229,STARFORMING,13.659,13.185,9.165,545.19,335.82,3421
419,51812,81,0.0784789,STARFORMING,13.004,12.978,10.46,996.34,406.12,1037.9
419,51879,128,0.09481806,STARBURST,14.431,14.207,10.419,267.56,131.03,1077.5
419,51879,137,0.2950538,STARFORMING,15.503,14.138,10.416,99.738,139.63,1080.3
419,51868,202,0.1312772,STARFORMING,14.634,14.387,10.86,222.08,110.96,717.87
419,51879,203,0.07538475,STARFORMING,13.995,13.731,9.826,399.82,203.13,1860.9
419,51879,206,0.1964462,STARFORMING,14.215,13.856,10.85,326.51,181.04,724.41
419,51868,253,0.07615343,STARFORMING,13.935,13.766,10.488,422.77,196.64,1011.5
419,51812,286,0.03323801,STARFORMING,12.851,12.623,8.651,1147.2,563.41,5489.4
